row,corr
6405,0
6406,0
6407,0
6408,0
6409,0
6410,0
6411,0
6412,0
6413,1
6414,0
6415,0
6652,0
6661,1
6664,1
6667,1
6673,1
6677,0
6678,0
6949,0
6952,1
6956,0
6960,0
6964,1
6965,1
6966,0
6972,0
6973,1
7205,0
7206,0
7207,0
7211,0
7212,0
7213,0
7214,1
7215,1
7216,0
7217,0
7218,0
7219,0
7220,0
7221,1
7222,0
7223,0
7224,1
7225,0
7226,0
7227,1
7228,0
7229,0
7230,0
7231,0
7232,0
7476,1
7479,1
7482,0
7488,0
7491,0
7495,1
7730,1
7731,0
7732,0
7733,1
7734,0
7735,0
7736,0
7737,0
7738,0
7739,0
7740,0
7741,0
7742,0
7743,0
7744,0
7745,1
7746,1
7747,0
7748,0
7749,0
7753,1
7755,0
7963,1
7970,0
7974,0
7975,0
8221,1
8222,0
8223,0
8228,0
8229,0
8230,0
8231,1
8232,0
8233,0
8234,1
8235,0
8236,0
8237,0
8238,0
8239,0
8482,0
8490,1
8491,1
8497,0
8500,1
8501,0
8502,0
8503,0
8504,0
8505,0
8506,1
8747,0
8748,0
8749,0
8750,1
8759,0
8762,1
8768,0
8769,1
8772,1
8775,1
8778,0
8781,1
9017,1
9018,0
9019,0
9020,0
9021,0
9022,0
9023,0
9024,0
9025,0
9026,0
9027,0
9028,0
9029,0
9030,0
9035,0
9036,0
9037,0
9038,1
9039,0
9040,0
9041,0
9042,1
9242,0
9243,0
9244,0
9245,0
9246,0
9247,0
9248,0
9249,0
9251,1
9254,0
9260,1
9396,1
9425,1
9426,0
9427,0
9476,1
9540,1
9541,0
9542,0
9543,0
9544,0
9545,0
9559,1
9581,1
9582,1
9635,0
9636,0
9637,0
9641,1
9642,0
9643,0
9700,0
9701,0
9702,0
9703,0
9707,0
9708,0
9709,0
9710,0
9721,0
9722,0
9723,0
9724,0
9731,0
9732,0
9733,0
9814,1
9815,0
9816,0
9817,0
9818,0
9819,0
9820,1
9821,1
9822,0
9823,0
9824,1
9825,0
9826,0
9941,0
9942,0
9943,0
9944,1
9945,0
9946,0
9947,1
9948,1
9949,1
10024,0
10025,0
10026,0
10027,1
10086,0
10089,0
10092,0
10240,1
10241,0
10242,0
10243,0
10244,0
10245,0
10246,0
10247,0
10248,0
10249,0
10250,1
10253,1
10256,1
10260,0
10477,1
10480,1
10486,0
10490,1
10491,1
10494,1
10500,1
10501,1
10502,0
10503,0
10717,0
10718,0
10719,0
10720,1
10721,0
10722,0
10723,0
10724,0
10725,0
10726,1
10727,1
10728,0
10729,0
10730,1
10731,1
10732,0
10733,1
10734,1
10735,0
10736,0
10737,0
10738,0
10739,1
10740,1
10741,0
10742,0
10743,1
10744,1
10745,0
10746,0
10853,1
10857,0
10859,1
10936,0
10937,0
10938,0
10939,1
10940,0
10941,0
10942,0
10943,0
10944,0
10945,0
10946,1
11019,0
11020,0
11021,0
11022,0
11023,0
11024,0
11080,0
11081,1
11103,0
11104,0
11105,0
11106,0
11161,1
11167,1
11230,0
11231,0
11232,0
11366,0
11370,0
11419,1
11420,1
11421,0
11457,1
11463,1
11507,0
11508,0
11509,0
11510,1
11511,0
11512,0
11513,0
11514,1
11515,0
11516,0
11517,0
11518,1
11519,0
11520,0
11521,0
11522,1
11523,1
11524,0
11525,0
11526,1
11527,0
11528,0
11529,1
11740,1
11741,0
11742,0
11743,0
11744,0
11745,0
11746,1
11747,0
11748,0
11749,0
11753,1
11754,0
11760,0
11761,1
11956,0
11962,0
11963,1
11969,0
11973,0
11974,1
11977,1
11983,0
12040,1
12041,0
12042,0
12105,0
12106,0
12107,0
12108,0
12109,1
12110,0
12111,0
12178,0
12182,0
12204,1
12205,0
12206,0
12227,0
12228,0
12229,0
12230,1
12256,0
12257,1
12260,1
12263,0
12266,0
12333,0
12334,0
12335,0
12336,1
12337,1
12338,0
12339,0
12416,1
12417,0
12418,0
12419,0
12420,0
12421,0
12422,0
12423,0
12424,0
12425,0
12426,1
12427,0
12428,0
12429,0
12430,0
12464,0
12496,0
12498,0
12500,0
12501,0
12502,0
12503,0
12504,1
12537,1
12538,1
12539,0
12554,0
12557,0
12563,1
12565,0
12637,0
12638,0
12639,0
12693,1
12753,1
12757,1
12758,1
12821,0
12822,0
12823,0
12824,0
12901,0
12902,0
12903,0
12960,0
13016,1
13017,0
13018,0
13019,1
13020,0
13021,0
13068,1
13069,0
13121,0
13122,0
13123,0
13124,0
13125,0
13126,0
13171,1
13237,0
13238,0
13239,0
13296,1
13351,0
13354,1
13395,1
13398,1
13400,0
13401,1
13402,0
13403,0
13462,0
13517,0
13518,0
13519,0
13520,0
13577,1
13616,1
13617,0
13618,0
13619,1
13620,0
13621,0
13622,1
13623,1
13624,0
13625,0
13687,1
13691,0
13744,0
13745,0
13746,0
13747,0
13748,0
13749,0
13795,0
13808,1
13809,0
13810,0
13862,1
13866,0
13867,1
